Model ID,Type,Base Model,Task,Library,Download,Model Category,Real Type,Real base model,Real domain,is transformer-based,is_base_model,is_dependent_model,is_base_and_dependent_model,is_isloated,is_dependency_miss,is_dependency_wrong
bigscience/bloom-3b,,,text-generation,transformers,12577,NLP,/,/,NLP,1,1,0,0,0,0,0
OpenBuddy/openbuddy-llama3-8b-v21.1-8k,,,text-generation,transformers,3315,NLP,/,/,NLP,1,1,0,0,0,0,0
unsloth/Mistral-Small-24B-Base-2501-unsloth-bnb-4bit,quantized,mistralai/Mistral-Small-24B-Base-2501,text-generation,transformers,7665,NLP,quantized,mistralai/Mistral-Small-24B-Base-2501,NLP,1,1,1,1,0,0,0
Herry443/LLaMA2-ko-7B-KNUT-v0.1,,,text-generation,transformers,3339,NLP,/,/,NLP,1,0,0,0,1,0,0
mit-han-lab/svdq-int4-flux.1-dev,quantized,black-forest-labs/FLUX.1-dev,text-to-image,diffusers,18613,CV,quantized,black-forest-labs/FLUX.1-dev,CV,0,0,1,0,0,0,0
nvidia/segformer-b2-finetuned-cityscapes-1024-1024,,,image-segmentation,transformers,3407,CV,finetune,？,CV,1,1,1,1,0,1,0
timm/tf_efficientnet_b5.ns_jft_in1k,,,image-classification,timm,18517,CV,/,/,CV,1,0,0,0,1,0,0
UMUTeam/roberta-spanish-sentiment-analysis,finetune,PlanTL-GOB-ES/roberta-base-bne,text-classification,transformers,2791,NLP,finetune,PlanTL-GOB-ES/roberta-base-bne,NLP,1,0,1,0,0,0,0
jinaai/jina-embeddings-v2-base-es,,,feature-extraction,sentence-transformers,26409,NLP,/,/,NLP,1,1,0,0,0,0,0
gvs/wav2vec2-large-xlsr-malayalam,,,automatic-speech-recognition,transformers,25616,Audio,finetune,facebook/wav2vec2-large-xlsr-53,Audio,1,1,1,1,0,1,0
xlnet/xlnet-base-cased,,,text-generation,transformers,102135,NLP,/,/,NLP,1,1,0,0,0,0,0
facebook/PE-Lang-G14-448,,,image-feature-extraction,perception-encoder,3389,CV,/,/,CV,?,0,0,0,1,0,0
TheDrummer/Gemmasutra-Small-4B-v1-GGUF,,,,,5218,Unknown,quantized,TheDrummer/Gemmasutra-Small-4B-v1,NLP,1,0,1,0,0,1,0
amazon/chronos-bolt-base,,,time-series-forecasting,,2208483,Tabular,/,/,Tabular,1,1,0,0,0,0,0
OpenGVLab/InternVL3-2B,finetune,OpenGVLab/InternVL3-2B-Instruct,image-text-to-text,transformers,83395,Multimodal,finetune,image-text-to-text,Multimodal,1,1,1,1,0,0,0
v000000/Qwen2.5-Lumen-14B,finetune,Qwen/Qwen2.5-14B-Instruct,text-generation,transformers,3327,NLP,merge,...,NLP,1,1,1,1,0,0,1
meta-llama/Llama-Guard-3-1B,,,text-generation,transformers,22772,NLP,finetune,Llama-3.2-1B,NLP,1,1,1,1,0,1,0
ivilson/GLM-Z1-32B-0414-FP8-dynamic,quantized,THUDM/GLM-Z1-32B-0414,text-generation,,2755,NLP,quantized,THUDM/GLM-Z1-32B-0414,NLP,1,0,1,0,0,0,0
segment-any-text/sat-12l,,,token-classification,transformers,4987,NLP,/,/,NLP,1,0,0,0,1,0,0
sashaboguraev/filler_gap_obj_pythia-70m_pos_3_layer_0,,,,,20683,Unknown,/,/,NLP,1,0,0,0,1,0,0
Helsinki-NLP/opus-mt-en-cs,,,translation,transformers,6685,NLP,/,/,NLP,1,1,0,0,0,0,0
xinsir/controlnet-union-sdxl-1.0,,,text-to-image,diffusers,188499,CV,/,/,CV,0,1,0,0,0,0,0
indolem/indobert-base-uncased,,,fill-mask,transformers,13774,NLP,/,/,NLP,1,1,0,0,0,0,0
migtissera/Tess-2.0-Llama-3-8B,,,text-generation,transformers,20425,NLP,finetune,meta-llama/Meta-Llama-3-8B,NLP,1,1,1,1,0,1,0
magic-leap-community/superpoint,,,keypoint-detection,transformers,19856,CV,/,/,CV,1,1,0,0,0,0,0
princeton-nlp/Llama-3-Instruct-8B-RRHF,,,text-generation,transformers,3329,NLP,RL,Llama-3-Instruct-8B,NLP,1,1,1,1,0,1,0
openai-community/gpt2-xl,,,text-generation,transformers,137189,NLP,/,/,NLP,1,1,0,0,0,0,0
hunflair/biosyn-sapbert-bc2gn,,,,flair,4438,Unknown,finetune,dmis-lab/biosyn-sapbert-bc2gn,NLP,1,0,1,0,0,1,0
lemon-mint/gemma-ko-7b-instruct-v0.71,finetune,google/gemma-1.1-7b-it,text-generation,transformers,3300,NLP,finetune,google/gemma-1.1-7b-it,NLP,1,1,1,1,0,0,0
Gensyn/Qwen2.5-32B-Instruct-bnb-4bit,quantized,Qwen/Qwen2.5-32B-Instruct,text-generation,transformers,40713,NLP,quantized,Qwen/Qwen2.5-32B-Instruct,NLP,1,1,1,1,0,0,0
ckpt/ModelScope,,,,open_clip,3101,Unknown,/,/,multimodal,0,0,0,0,1,0,0
DeepPavlov/bert-base-bg-cs-pl-ru-cased,,,feature-extraction,transformers,141955,NLP,/,/,NLP,1,1,0,0,0,0,0
lucio/xls-r-uzbek-cv8,finetune,facebook/wav2vec2-xls-r-300m,automatic-speech-recognition,transformers,6589,Audio,finetune,facebook/wav2vec2-xls-r-300m,Audio,1,0,1,0,0,0,0
DavidAU/Mistral-MOE-4X7B-Dark-MultiVerse-Uncensored-Enhanced32-24B-gguf,merge,"mistralai/Mistral-7B-Instruct-v0.3, DavidAU/Mistral-MOE-4X7B-Dark-MultiVerse-Uncensored-Enhanced32-24B",text-generation,,7400,NLP,merge,"mistralai/Mistral-7B-Instruct-v0.3, DavidAU/Mistral-MOE-4X7B-Dark-MultiVerse-Uncensored-Enhanced32-24B",NLP,1,0,1,0,0,0,0
cragtmp/task1add3-350public,adapter,meta-llama/Llama-3.2-11B-Vision-Instruct,,peft,5577,Unknown,adapter,meta-llama/Llama-3.2-11B-Vision-Instruct,multimodal,1,0,1,0,0,0,0
freds0/distil-whisper-large-v3-ptbr,finetune,distil-whisper/distil-large-v3,automatic-speech-recognition,,17434,Audio,finetune,distil-whisper/distil-large-v3,Audio,1,1,1,1,0,0,0
textattack/bert-base-uncased-imdb,,,text-classification,transformers,15916,NLP,finetune,bert-base-uncased,NLP,1,1,1,1,0,1,0
mrm8488/bert-base-spanish-wwm-cased-finetuned-spa-squad2-es,,,question-answering,transformers,18887,NLP,finetune,dccuchile/bert-base-spanish-wwm-cased,NLP,1,1,1,1,0,1,0
llm-jp/llm-jp-13b-instruct-full-jaster-v1.0,,,text-generation,transformers,3132,NLP,finetune,llm-jp-13b-v1.0,NLP,1,0,1,0,0,1,0
internlm/internlm2_5-20b-chat-4bit-awq,,,,,3512,Unknown,quantized,internlm/internlm2_5-20b-chat,NLP,1,0,1,0,0,1,0
Sakalti/Saka-14B,merge,"sometimesanotion/Lamarck-14B-v0.7, sometimesanotion/Qwenvergence-14B-v11",text-generation,transformers,4508,NLP,merge,"sometimesanotion/Lamarck-14B-v0.7, sometimesanotion/Qwenvergence-14B-v11",NLP,1,1,1,1,0,0,0
gpustack/bge-reranker-v2-m3-GGUF,,,text-classification,sentence-transformers,3403,NLP,quantized,BAAI/bge-reranker-v2-m3,NLP,1,0,1,0,0,1,0
latiao1999/task-10-microsoft-Phi-3-mini-4k-instruct,adapter,Qwen/Qwen2.5-7B-Instruct,,peft,2998,Unknown,adapter,Qwen/Qwen2.5-7B-Instruct,NLP,1,0,1,0,0,0,0
cognitivecomputations/dolphin-2.9.1-llama-3-8b,finetune,meta-llama/Meta-Llama-3-8B,text-generation,transformers,14225,NLP,finetune,meta-llama/Meta-Llama-3-8B,NLP,1,1,1,1,0,0,0
01-ai/Yi-34B-Chat,,,text-generation,transformers,17366,NLP,/,/,NLP,1,1,0,0,0,0,0
Dampfinchen/Llama-3.1-8B-Ultra-Instruct,merge,"nbeerbower/llama3.1-airoboros3.2-QDT-8B, akjindal53244/Llama-3.1-Storm-8B, NousResearch/Meta-Llama-3.1-8B, Sao10K/Llama-3.1-8B-Stheno-v3.4, nbeerbower/llama3.1-gutenberg-8B",text-generation,transformers,3326,NLP,merge,"nbeerbower/llama3.1-airoboros3.2-QDT-8B, akjindal53244/Llama-3.1-Storm-8B, NousResearch/Meta-Llama-3.1-8B, Sao10K/Llama-3.1-8B-Stheno-v3.4, nbeerbower/llama3.1-gutenberg-8B",NLP,1,1,1,1,0,0,0
mrm8488/wav2vec2-large-xlsr-53-euskera,,,automatic-speech-recognition,transformers,3020,Audio,finetune,facebook/wav2vec2-large-xlsr-53,Audio,1,0,1,0,0,1,0
TheBloke/Mythalion-13B-AWQ,quantized,PygmalionAI/mythalion-13b,text-generation,transformers,3475,NLP,quantized,PygmalionAI/mythalion-13b,NLP,1,0,1,0,0,0,0
M-CLIP/XLM-Roberta-Large-Vit-L-14,,,,transformers,3711,Unknown,/,/,Multimodal,1,0,0,0,1,0,0
abhishekchohan/Yi-9B-Forest-DPO-v1.0,,,text-generation,transformers,3994,NLP,finetune,01-ai/Yi-9B,NLP,1,1,1,1,0,1,0
lllyasviel/sd-controlnet-canny,adapter,runwayml/stable-diffusion-v1-5,image-to-image,diffusers,193588,CV,adapter,runwayml/stable-diffusion-v1-5,CV,0,1,1,1,0,0,0
trl-internal-testing/tiny-Idefics2ForConditionalGeneration,,,image-text-to-text,transformers,7592,Multimodal,/,/,Multimodal,1,0,0,0,1,0,0
r1char9/ner-rubert-tiny-news,finetune,cointegrated/rubert-tiny2,token-classification,,7959,NLP,finetune,cointegrated/rubert-tiny2,NLP,1,0,1,0,0,0,0
mlx-community/DeepSeek-R1-0528-Qwen3-8B-4bit-DWQ,quantized,deepseek-ai/DeepSeek-R1-0528-Qwen3-8B,text-generation,mlx,3344,NLP,quantized,deepseek-ai/DeepSeek-R1-0528-Qwen3-8B,NLP,1,0,1,0,0,0,0
Intel/tiny-random-falcon,,,text-generation,transformers,4276,NLP,finetune,tiiuae/falcon-7b-instruct,NLP,1,0,1,0,0,1,0
google/mobilenet_v2_1.0_224,,,image-classification,transformers,36300,CV,/,/,CV,1,1,0,0,0,0,0
HuggingFaceM4/Idefics3-8B-Llama3,,,image-text-to-text,transformers,46397,Multimodal,finetune,google/siglip-so400m-patch14-384 and meta-llama/Meta-Llama-3.1-8B-Instruct,Multimodal,1,1,1,1,0,1,0
OpenBuddy/openbuddy-llemma-34b-v13.2,,,text-generation,transformers,3457,NLP,/,/,NLP,1,1,0,0,0,0,0
ariG23498/tiny-llama3-test,,,text-generation,transformers,3060,NLP,finetune,tiny-llama3,NLP,1,1,1,1,0,1,0
Mantis2024/Dirty-Muse-Writer-v01-Uncensored-Erotica-NSFW,merge,"Mantis2024/Dirty-Shirley-Writer-v2-9B-Uncensored, nerdigent/Darkest-muse-v1-lorablated-v2, IlyaGusev/gemma-2-9b-it-abliterated",text-generation,transformers,4117,NLP,merge,"Mantis2024/Dirty-Shirley-Writer-v2-9B-Uncensored, nerdigent/Darkest-muse-v1-lorablated-v2, IlyaGusev/gemma-2-9b-it-abliterated",NLP,1,1,1,1,0,0,0
stabilityai/stable-code-3b,,,text-generation,transformers,6272,NLP,/,/,NLP,1,1,0,0,0,0,0
TheBloke/OpenHermes-2.5-Mistral-7B-AWQ,quantized,teknium/OpenHermes-2.5-Mistral-7B,text-generation,transformers,4367,NLP,quantized,teknium/OpenHermes-2.5-Mistral-7B,NLP,1,0,1,0,0,0,0
rinna/japanese-gpt2-medium,,,text-generation,transformers,11123,NLP,/,/,NLP,1,1,0,0,0,0,0
T-Systems-onsite/cross-en-de-roberta-sentence-transformer,,,feature-extraction,transformers,110253,NLP,finetune,FacebookAI/xlm-roberta-base,NLP,1,1,1,1,0,1,0
3SixtyVentures/SN360387,,,,,3290,Unknown,/,/,NLP,1,0,0,0,1,0,0
sentence-transformers-testing/stsb-bert-tiny-openvino,,,sentence-similarity,sentence-transformers,10852,NLP,/,/,NLP,1,0,0,0,1,0,0
skfrost19/BioMistralMerged,quantized,BioMistral/BioMistral-7B,text-generation,transformers,3625,NLP,merge,BioMistral/BioMistral-7B and mohsenfayyaz/Mistral-7B-Instruct-v0.2_medical_bios_5000_5ep,NLP,1,1,1,1,0,0,1
microsoft/dit-base-finetuned-rvlcdip,,,image-classification,transformers,193586,CV,/,/,CV,1,1,0,0,0,0,0
katuni4ka/tiny-random-deepseek-v3,,,text-generation,,30704,NLP,/,/,NLP,1,0,0,0,1,0,0
BAAI/AltCLIP,,,zero-shot-image-classification,transformers,10761,CV,/,/,CV,1,0,0,0,1,0,0
SakanaAI/Llama-3-EvoVLM-JP-v2,,,image-to-text,transformers,4002,CV,merge,"Meta-Llama-3-8B-Instruct
Mantis-8B-siglip-llama3
Bunny-v1.1-Llama-3-8B-V
",CV,1,0,1,0,0,1,0
koboldcpp/imgmodel,,,,,10424,Unknown,/,/,CV,1,0,0,0,1,0,0
sbintuitions/tiny-lm-chat,,,text-generation,transformers,3397,NLP,finetune,sbintuitions/tiny-lm,NLP,1,0,1,0,0,1,0
SeacomSrl/SeaPhi3-mini,,,text-generation,transformers,5395,NLP,finetune,microsoft/Phi-3-mini-128k-instruct,NLP,1,1,1,1,0,1,0
stabilityai/stable-virtual-camera,,,image-to-video,,15509,CV,/,/,CV,0,0,0,0,1,0,0
RubielLabarta/LogoS-7Bx2-MoE-13B-v0.2,merge,"TomGrc/FusionNet_7Bx2_MoE_14B, yunconglong/Truthful_DPO_TomGrc_FusionNet_7Bx2_MoE_13B",text-generation,transformers,10004,NLP,merge,"TomGrc/FusionNet_7Bx2_MoE_14B, yunconglong/Truthful_DPO_TomGrc_FusionNet_7Bx2_MoE_13B",NLP,1,1,1,1,0,0,0
yasyf/colnomic-embed-multimodal-3b-merged,,,,transformers,15138,Unknown,/,/,NLP,1,0,0,0,1,0,0
facebook/dpr-ctx_encoder-multiset-base,,,,transformers,10729,Unknown,/,/,NLP,1,0,0,0,1,0,0
togethercomputer/RedPajama-INCITE-7B-Instruct,,,text-generation,transformers,3041,NLP,finetune,RedPajama-INCITE-7B-Base,NLP,1,1,1,1,0,1,0
altomek/YiSM-34B-0rn,merge,"01-ai/Yi-1.5-34B-Chat, 01-ai/Yi-1.5-34B",text-generation,transformers,18197,NLP,merge,"01-ai/Yi-1.5-34B-Chat, 01-ai/Yi-1.5-34B",NLP,1,1,1,1,0,0,0
Qwen/Qwen1.5-0.5B-Chat-GGUF,,,text-generation,,4898,NLP,quantized,Qwen/Qwen1.5-0.5B-Chat,NLP,1,0,1,0,0,1,0
RedHatAI/Pixtral-Large-Instruct-2411-hf-FP8-dynamic,quantized,mistralai/Pixtral-Large-Instruct-2411,image-text-to-text,vllm,17638,Multimodal,quantized,mistralai/Pixtral-Large-Instruct-2411,Multimodal,0,0,1,0,0,0,0
OpenGVLab/InternVL2-8B,merge,"OpenGVLab/InternViT-300M-448px, internlm/internlm2_5-7b-chat",image-text-to-text,transformers,346664,Multimodal,merge,"OpenGVLab/InternViT-300M-448px, internlm/internlm2_5-7b-chat",Multimodal,1,1,1,1,0,0,0
ABDALLALSWAITI/FLUX.1-dev-ControlNet-Union-Pro-2.0-fp8,quantized,Shakker-Labs/FLUX.1-dev-ControlNet-Union-Pro-2.0,text-to-image,diffusers,5706,CV,quantized,Shakker-Labs/FLUX.1-dev-ControlNet-Union-Pro-2.0,CV,0,0,1,0,0,0,0
DopeorNope/Zero_COKE_K-13B,,,text-generation,transformers,3329,NLP,/,/,NLP,1,1,0,0,0,0,0
Tochka-AI/ruRoPEBert-e5-base-2k,,,feature-extraction,transformers,2908,NLP,finetune,hivaze/ru-e5-base,NLP,1,0,1,0,0,1,0
rizvandwiki/gender-classification,,,image-classification,transformers,2388464,CV,/,/,CV,1,1,0,0,0,0,0
sbintuitions/sarashina2.2-3b,,,,,4443,Unknown,/,/,NLP,1,1,0,0,0,0,0
TanyaVM/MistralAWQ2,,,,,64285,Unknown,quantized,?,NLP,1,0,1,0,0,1,0
3SixtyVentures/SN3603811,,,,,3259,Unknown,finetune,dstrbtd/llama-1b,NLP,1,0,1,0,0,1,0
timm/vit_large_patch14_reg4_dinov2.lvd142m,,,image-feature-extraction,timm,2002008,CV,/,/,CV,1,0,0,0,1,0,0
Tomlim/myt5-base,,,text-generation,transformers,3500,NLP,/,/,NLP,1,0,0,0,1,0,0
sashaboguraev/filler_gap_obj_pythia-14m_pos_3_layer_5,,,,,4633,Unknown,/,/,Unknown,0,0,0,0,1,0,0
autogluon/chronos-bolt-base,,,time-series-forecasting,,4617675,Tabular,finetune,t5-efficient-base,Tabular,1,1,1,1,0,1,0
PlanTL-GOB-ES/roberta-large-bne-sqac,,,question-answering,transformers,3437,NLP,/,/,NLP,1,1,0,0,0,0,0
ChenWeiLi/Med-ChimeraLlama-3-8B_SHERP,merge,"mlabonne/ChimeraLlama-3-8B-v3, johnsnowlabs/JSL-MedLlama-3-8B-v2.0",text-generation,transformers,4015,NLP,merge,"mlabonne/ChimeraLlama-3-8B-v3, johnsnowlabs/JSL-MedLlama-3-8B-v2.0",NLP,1,1,1,1,0,0,0
sentence-transformers-testing/stsb-bert-tiny-onnx,,,sentence-similarity,sentence-transformers,6459,NLP,/,/,NLP,1,0,0,0,1,0,0
answerdotai/ModernBERT-large,,,fill-mask,transformers,117788,NLP,/,/,NLP,1,1,0,0,0,0,0
sentence-transformers/paraphrase-MiniLM-L12-v2,,,sentence-similarity,sentence-transformers,79110,NLP,/,/,NLP,1,1,0,0,0,0,0
sashaboguraev/filler_gap_obj_pythia-14m_pos_5_layer_3,,,,,8402,Unknown,/,/,NLP,1,0,0,0,1,0,0
6chan/flux1-kontext-dev-fp8,quantized,black-forest-labs/FLUX.1-Kontext-dev,image-to-image,diffusion-single-file,5337,CV,quantized,black-forest-labs/FLUX.1-Kontext-dev,CV,0,0,1,0,0,0,0
multimolecule/rnafm,,,fill-mask,multimolecule,5273,NLP,/,/,NLP,1,1,0,0,0,0,0
ludocomito/Minerva-MoE-3x3B,merge,"FairMind/Minerva-3B-Instruct-v1.0, DeepMount00/Minerva-3B-base-RAG, sapienzanlp/Minerva-3B-base-v1.0",text-generation,transformers,4060,NLP,merge,"FairMind/Minerva-3B-Instruct-v1.0, DeepMount00/Minerva-3B-base-RAG, sapienzanlp/Minerva-3B-base-v1.0",NLP,1,1,1,1,0,0,0
rrw-x2/KoSOLAR-10.7B-DPO-v1.0,,,text-generation,transformers,3305,NLP,finetune,rrw-x2/KoSOLAR-10.7B,NLP,1,1,1,1,0,1,0
deepseek-ai/deepseek-moe-16b-chat,,,text-generation,transformers,6858,NLP,/,/,NLP,1,1,0,0,0,0,0
Shitao/OmniGen-v1-diffusers,,,,diffusers,4235,Unknown,/,/,Unknown,1,0,0,0,1,0,0
leo009/stable-diffusion-3-medium,,,text-to-image,diffusers,6719,CV,/,/,CV,0,0,0,0,1,0,0
jonatasgrosman/wav2vec2-large-xlsr-53-russian,,,automatic-speech-recognition,transformers,4669270,Audio,finetune,facebook/wav2vec2-large-xlsr-53,Audio,1,1,1,1,0,1,0
